svl	width
48.97277	9.794898
50.80404	10.160422
44.85721	8.97107
52.81699	10.563258
42.32042	8.463782
42.55305	8.510682
61.24849	12.249658
62.46032	12.491914
49.73319	9.946572
46.84925	9.369492
43.0461	8.609528
52.68494	10.536942
36.51661	7.303634
54.13912	10.828156
45.31597	9.063424
49.25186	9.850208
39.11509	7.823272
65.97148	13.193966
44.82382	8.964598
41.02961	8.20587
58.21121	11.64212
65.79261	13.158376
50.03427	10.006962
54.4571	10.89159
58.72187	11.744758
38.82133	7.764264
30.57999	6.116112
47.46463	9.492888
51.59923	10.320032
43.63198	8.726058
47.77081	9.554458
56.82119	11.364116
53.9637	10.792842
55.99404	11.198922
61.73389	12.346548
58.77051	11.754312
49.29428	9.859008
39.65372	7.930836
52.14677	10.429254
43.97485	8.79484
54.44366	10.888622
48.92951	9.786204
58.19898	11.639742
63.16155	12.632
29.44133	5.887928
53.93497	10.78731
49.23924	9.848094
46.94706	9.389314
47.82563	9.5651
40.64816	8.129782
47.79531	9.559142
44.05173	8.810434
62.62613	12.525022
48.15797	9.631952
38.58065	7.71635
50.38663	10.077348
57.71664	11.543182
34.0176	6.803584
55.67441	11.134538
46.82142	9.364408
64.22194	12.844136
43.17936	8.635696
38.54046	7.708488
38.8115	7.761908
58.92707	11.785686
42.73575	8.547532
60.07971	12.015578
55.24068	11.048474
31.2181	6.243588
79.58661	15.91733
55.08527	11.017112
63.89665	12.779012
41.15087	8.230358
44.96177	8.992556
45.39777	9.07947
49.42224	9.88444
51.22065	10.244314
35.24972	7.05025
51.58301	10.31667
54.58251	10.916502
58.55156	11.710288
47.44572	9.489512
52.75665	10.551278
50.64037	10.128344
45.39837	9.079432
30.23911	6.047822
69.47283	13.89474
53.3527	10.670554
34.49192	6.89816
46.26144	9.252604
48.87236	9.77463
33.64615	6.729352
78.31785	15.663942
52.89891	10.579732
36.30666	7.261518
53.38379	10.677116
58.01621	11.60352
37.31329	7.462772
41.09113	8.218392
66.39469	13.279328
